Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
A0A0B4J2F0,1,5.49E-05,0,0.159002758,3.06E-08
Q96S66,2,0.000109733,0.000107752,0.189721892,2.38E-06
A0A0U1RRE5,2,0.000109733,0,0.210496584,1.64E-05
Q9NPI6,19,0.001042467,0.000832699,0.267239531,0.001271358
Q6P2E9,9,0.0004938,0.000443745,0.219186545,2.45E-05
A0AV02,1,5.49E-05,0,0.234306688,0.000254863
P26367,110,0.006035334,0.001871342,0.307731646,0.020104049
A0AV96,15,0.000823,1.42E-05,0.262489564,0.001414927
Q5SWW7,65,0.003566334,0.000240309,0.296706717,0.016641718
Q6P1W5,90,0.004938001,0.001007616,0.319735442,0.024289325
Q9UQM7,96,0.005267201,0.001915991,0.312853841,0.015672227
Q8N6W0,20,0.001097333,7.48E-06,0.272122433,0.011238979
B7ZLH0,16,0.000877867,4.96E-05,0.279354923,0.003473272
P32243-2,35,0.001920334,0.000693785,0.28517085,0.002751682
P57721-2,8,0.000438933,1.08E-05,0.261070175,0.00090013
Q9NZ81,50,0.002743334,0.000479948,0.299431579,0.014151806
Q9NWB1-5,24,0.0013168,8.38E-05,0.291306505,0.005867908
Q8TBY0,10,0.000548667,1.65E-05,0.267357434,0.002450042
Q66K41-2,6,0.0003292,1.31E-06,0.248750001,0.000862657
A0AVI4,3,0.0001646,5.48E-07,0.259309727,0.001294622
P04792,261,0.014320202,0.004546584,0.321178771,0.032174399
P02766,70,0.003840667,0.000707801,0.290454323,0.006465315
O76024,580,0.031822671,0.023809436,0.345739501,0.063426278
A0AVK6,22,0.001207067,0.00029233,0.303244678,0.006519881
P07550,29,0.001591134,0.000225551,0.273745893,0.002107294
Q92870-2,88,0.004828267,0.000680004,0.30517728,0.010548349
P46379-2,130,0.007132668,0.002193789,0.324775717,0.020558171
P55212,267,0.014649402,0.004486628,0.325208439,0.023109079
O14645,88,0.004828267,0.00059566,0.305942321,0.010115023
Q96AV8,1,5.49E-05,0,0.231696381,8.27E-05
P22607,399,0.021891803,0.00875068,0.327688585,0.042211451
Q13643,145,0.007955668,0.004587389,0.31790197,0.032219537
Q14957,141,0.007736201,0.001248149,0.299635792,0.016258619
P06396,258,0.014155602,0.004063238,0.316967369,0.026519568
P01112,156,0.008559201,0.002672911,0.305543384,0.019051065
P42858,992,0.054427741,0.081415684,0.376033782,0.0876796
O14901,281,0.015417535,0.00652977,0.326519617,0.030886792
Q6FHY5,488,0.026774937,0.029181939,0.348509476,0.075385088
Q7Z412,40,0.002194667,0.000280666,0.287038609,0.005239067
P37840,212,0.011631735,0.005741488,0.331865524,0.021241388
Q9UNE7,84,0.004608801,0.003369756,0.319004154,0.009785466
Q12800,67,0.003676067,0.00206269,0.291320992,0.006612852
Q9UMX0,343,0.018819269,0.013263184,0.329965055,0.026564805
Q9Y649,117,0.006419401,0.000737934,0.308287673,0.01556568
A0AVT1,1,5.49E-05,0,0.236871075,0.000375218
Q6NT76,113,0.006199934,0.001230532,0.312170293,0.02959097
A0FGR8,2,0.000109733,0,0.192914573,1.29E-06
Q9BSJ8,4,0.000219467,0.000646382,0.240074572,0.000100445
A0FGR9,2,0.000109733,0,0.192914573,1.29E-06
A0JLT2,14,0.000768133,6.33E-05,0.284713468,0.003835902
Q9NX70,17,0.000932733,0.000129284,0.26281931,0.001969729
Q86UW9,138,0.007571601,0.002242319,0.314792821,0.030665604
P62993,211,0.011576868,0.01202042,0.326004764,0.021813682
P50747,8,0.000438933,0.000121173,0.251275237,0.001147826
Q63ZY3,219,0.012015802,0.003972887,0.329180115,0.067434967
Q92993,258,0.014155602,0.009656557,0.340270274,0.040975857
Q8TAP4-4,194,0.010644135,0.002957099,0.323597607,0.03772862
Q14511-2,24,0.0013168,5.36E-05,0.286682743,0.007811205
P17252,94,0.005157467,0.000955467,0.297596038,0.006859102
Q0D2K3,50,0.002743334,0.000473572,0.297344277,0.013662783
Q15047-2,110,0.006035334,0.000696366,0.307629297,0.010065957
Q13148,267,0.014649402,0.007336109,0.323979405,0.028141063
P61981,195,0.010699001,0.004137292,0.311506289,0.013649055
P36508,95,0.005212334,0.001504701,0.304073688,0.020673198
A0JP26,8,0.000438933,6.90E-07,0.264341308,0.003458341
Q08AG9,17,0.000932733,9.46E-06,0.278297631,0.011108008
O95995,120,0.006584001,0.001222229,0.320955873,0.040160511
Q9BYQ6,77,0.004224734,0.000144472,0.300856638,0.036984387
Q9BYR2,66,0.0036212,0.000176488,0.294178658,0.031659446
P26371,207,0.011357402,0.002412381,0.323085981,0.073116677
Q9BYQ4,161,0.008833535,0.002263699,0.33258779,0.063327734
Q8N5G2,21,0.0011522,1.83E-05,0.278513745,0.008549097
Q5T6S3,29,0.001591134,8.78E-05,0.291732052,0.007986394
A0MZ66,12,0.0006584,0.000235828,0.25931738,0.000936327
P62508,40,0.002194667,0.000604815,0.283761849,0.004766899
P05413,3,0.0001646,1.32E-06,0.232213779,0.000232506
Q6PJR7,1,5.49E-05,0,0.205144851,1.19E-05
Q9Y5B8,78,0.004279601,0.001164312,0.309383991,0.02054765
P62508-3,35,0.001920334,0.000517978,0.280541143,0.003544176
Q9Y2D4,3,0.0001646,1.94E-06,0.235961476,0.00015183
A0MZ66-4,7,0.000384067,9.92E-06,0.251088552,0.000623896
Q15025,78,0.004279601,0.001973346,0.308044502,0.018531023
Q05BL1,79,0.004334467,0.001525796,0.309940545,0.014770712
Q9NP64,16,0.000877867,0.000174096,0.288755341,0.004050368
O75936,2,0.000109733,2.12E-07,0.205149641,1.29E-05
A0PJY2,6,0.0003292,1.08E-06,0.269122047,0.006862911
A8MQ03,582,0.031932404,0.015945822,0.342765673,0.148364625
Q5TD97,104,0.005706134,0.000866453,0.308368816,0.031587995
Q6A162,417,0.022879403,0.008200891,0.331884326,0.100220658
Q07627,212,0.011631735,0.001525188,0.312898403,0.063745198
P60410,428,0.023482936,0.008213615,0.332745221,0.119073688
Q99750,384,0.021068803,0.00911514,0.324284295,0.078401389
A0PK00,61,0.003346867,0.000460389,0.272612097,0.00206821
P20292,8,0.000438933,2.32E-06,0.245333,0.000279186
Q68DC2,18,0.0009876,2.31E-05,0.257346554,0.00072429
Q6Q788,14,0.000768133,0.000211849,0.259635363,0.000655836
Q13520,324,0.017776802,0.007772109,0.305410636,0.008928664
O94778,17,0.000932733,9.73E-05,0.280339759,0.004322193
O60238,23,0.001261934,0.000332425,0.261330282,0.000537435
O95273,124,0.006803468,0.003277032,0.2976414,0.019249985
P04233-2,27,0.0014814,5.16E-05,0.256857581,0.000732707
P21964,80,0.004389334,0.002636468,0.308997764,0.008354701
Q7Z7G2,96,0.005267201,0.000471045,0.280397907,0.003248635
Q96BA8,204,0.011192801,0.002945543,0.292348391,0.005269312
Q15125,182,0.009985735,0.001367678,0.289788583,0.005039004
Q9Y282,226,0.012399868,0.003110674,0.293917896,0.005593184
O15552,116,0.006364534,0.000964469,0.278641808,0.002917862
Q9Y680,79,0.004334467,0.000863415,0.286607936,0.003099678
Q05329,44,0.002414134,0.000223081,0.278095054,0.002007819
P08034,51,0.0027982,0.000151303,0.264456666,0.001235174
Q5T7V8,51,0.0027982,0.000386637,0.271832,0.001550905
Q8TDT2,212,0.011631735,0.003155715,0.295330535,0.005581819
Q9NZD1,31,0.001700867,0.000141742,0.253150183,0.000696031
Q8TED1,161,0.008833535,0.001580043,0.288433075,0.004497622
Q8NBQ5,64,0.003511467,0.000211328,0.276585071,0.001867264
P38484,40,0.002194667,0.000113117,0.260373936,0.001062297
P16871,14,0.000768133,5.43E-05,0.243930027,0.000403468
Q8N5M9,134,0.007352134,0.001219209,0.288291127,0.003996004
Q9HDC5,15,0.000823,8.22E-05,0.272000291,0.00138431
P48051,59,0.003237134,0.000172751,0.27388668,0.001965528
O43300,2,0.000109733,1.46E-07,0.226605532,4.54E-05
O14880,86,0.004718534,0.000455034,0.285356068,0.003462378
Q9Y676,22,0.001207067,0.000288747,0.25337282,0.000450594
P15941-11,95,0.005212334,0.001009296,0.289306755,0.002655977
Q6IBW4-4,15,0.000823,7.08E-05,0.262575846,0.001226016
Q9BRK0,27,0.0014814,9.81E-05,0.263031728,0.001006157
Q9H6H4,110,0.006035334,0.001192557,0.28858464,0.003021978
Q86VR2,123,0.006748601,0.001653232,0.294385628,0.004794055
Q6ZMZ0,31,0.001700867,0.000300858,0.264540264,0.000783797
Q99942,46,0.002523867,0.000494626,0.278443141,0.001886293
Q9NY72,112,0.006145067,0.000698359,0.280232473,0.002799409
Q8IVP1,11,0.000603533,0.000196961,0.262325001,0.000582169
Q14973,93,0.005102601,0.000619839,0.273792806,0.002037311
Q3KNW5,160,0.008778668,0.000988244,0.282711927,0.003521223
Q8NDX2-2,3,0.0001646,2.02E-07,0.22452969,7.69E-05
P54219-3,57,0.0031274,8.07E-05,0.26857093,0.001539801
P43003,5,0.000274333,1.07E-07,0.231020216,0.000150729
P27105,83,0.004553934,0.000764095,0.280850494,0.002319032
P32856-2,54,0.0029628,0.000330517,0.283876441,0.002433931
Q96MV1,73,0.004005267,0.000385925,0.274635706,0.001959301
Q8IV31,40,0.002194667,0.000176515,0.271307431,0.00139424
Q96AN5,15,0.000823,5.63E-06,0.25338378,0.00056052
Q9NUH8,226,0.012399868,0.00526801,0.301424263,0.006316091
Q96HE8,74,0.004060134,0.000813773,0.277932325,0.002376603
O15393-2,60,0.003292,0.00012807,0.271517015,0.001915313
Q9Y320,169,0.009272468,0.001347526,0.288333697,0.004399876
Q96MV8,56,0.003072534,0.000199079,0.27148346,0.001840264
A0PK11,14,0.000768133,4.04E-06,0.239635906,0.000265078
Q8N6S5,14,0.000768133,1.51E-05,0.247670263,0.000474481
O00501,39,0.0021398,0.000321386,0.270426535,0.00159156
Q9UHP7-3,31,0.001700867,0.000317877,0.275699902,0.00189626
Q8TBE3,107,0.005870734,0.001470762,0.288764831,0.003753828
P26715,50,0.002743334,0.000576275,0.262654334,0.000961204
Q8N386,46,0.002523867,0.0002982,0.265295032,0.001242701
O14524-2,30,0.001646,2.74E-05,0.260814455,0.000801202
Q9Y3P8,10,0.000548667,3.21E-06,0.236941335,0.000192975
Q8WWF3,109,0.005980467,0.001001899,0.287724731,0.003803496
Q8N6K0,24,0.0013168,2.85E-05,0.249913806,0.000509593
Q9H7M9,26,0.001426534,1.99E-05,0.252408457,0.0005653
A1A4S6,1,5.49E-05,0,0.211711246,7.86E-05
Q6P5Z2,9,0.0004938,0.000181738,0.26989908,0.00620076
A1A4Y4,1,5.49E-05,0,0.245028566,0.000255816
Q96CV9,218,0.011960935,0.010398521,0.326495352,0.020172803
A1A5B4,2,0.000109733,1.85E-05,0.237437531,0.000226256
Q12959,46,0.002523867,0.002146606,0.26605412,0.001174194
Q9H8W4,166,0.009107868,0.005731869,0.30851498,0.016669665
A1A5C7,15,0.000823,0.000203486,0.275725855,0.005043181
Q7Z3S9,240,0.013168002,0.003422571,0.317253472,0.058658131
Q08AM2,30,0.001646,0.000108237,0.254724299,0.000603506
Q15848,72,0.003950401,0.001294995,0.29735434,0.003672206
P27352,9,0.0004938,0.000216754,0.235263375,0.000230833
Q9NWW5,34,0.001865467,0.0001459,0.266647531,0.001250926
O95406,35,0.001920334,6.17E-05,0.256404126,0.001219385
Q7Z2K6,42,0.0023044,8.83E-05,0.257060467,0.00104356
Q8IUG1,196,0.010753868,0.001432842,0.309662018,0.060172142
Q6UX06,39,0.0021398,0.0004818,0.264895148,0.001052478
P53801,16,0.000877867,6.65E-05,0.260857041,0.000988865
O00526,42,0.0023044,0.000158522,0.258261772,0.000777816
Q14508,15,0.000823,5.74E-05,0.252698811,0.000582681
A1E959,11,0.000603533,9.93E-05,0.275565886,0.003006031
Q13444-2,3,0.0001646,1.60E-06,0.259007809,0.000709263
Q03989,125,0.006858334,0.001229918,0.319079449,0.038422386
Q14192,130,0.007132668,0.00304413,0.309864036,0.021193392
O14964,268,0.014704269,0.006600516,0.322061664,0.050554363
Q71SY5,40,0.002194667,0.000759246,0.289879403,0.011382979
Q7Z3K3,97,0.005322067,0.001039161,0.303192361,0.016413309
O00560,314,0.017228136,0.016579177,0.351275037,0.049559781
P09234,71,0.003895534,0.000283666,0.294978579,0.02071585
Q8IWB4,2,0.000109733,6.43E-07,0.221672055,4.43E-05
O95231,93,0.005102601,0.000689278,0.301843613,0.02474842
A1KXE4,53,0.002907934,7.60E-05,0.2919938,0.01405519
P21549,40,0.002194667,0.000240091,0.288224933,0.017203158
O95817,88,0.004828267,0.001655987,0.311793677,0.016402361
O75909-2,23,0.001261934,7.30E-05,0.29321174,0.010735063
P33240,47,0.002578734,0.000400454,0.29230949,0.011110595
Q9H0L4,26,0.001426534,9.49E-05,0.284515264,0.00728456
Q9H6Z9,30,0.001646,0.000577424,0.291050808,0.006405563
Q92567-2,56,0.003072534,0.000306737,0.297314095,0.011907575
Q8WU58,44,0.002414134,0.000141298,0.290118676,0.012805385
O75593,62,0.003401734,0.000395737,0.293888405,0.01526599
Q12951-2,25,0.001371667,1.66E-05,0.28141716,0.006218919
Q9BZE0,51,0.0027982,0.000301088,0.292850172,0.014536583
Q13227,47,0.002578734,0.000391055,0.294420151,0.016581658
P17482,51,0.0027982,0.000103085,0.297454999,0.032316459
Q9ULV5-2,31,0.001700867,6.57E-05,0.282903072,0.010654043
Q6PEX3,94,0.005157467,0.000340671,0.302352536,0.037349944
Q14847-2,103,0.005651267,0.001148702,0.324925837,0.034370341
Q8IXL7-2,31,0.001700867,0.000220931,0.306369004,0.014288662
Q8TDC0,73,0.004005267,0.000221554,0.300975147,0.023045719
Q9BVL2,139,0.007626468,0.001262225,0.31025791,0.016112881
P32242,154,0.008449468,0.001309054,0.30659349,0.054951719
Q9HBE1-4,82,0.004499067,0.000484437,0.321278589,0.031970504
P78337,92,0.005047734,0.00058336,0.303469847,0.028829496
Q96HA1-2,30,0.001646,0.000242859,0.297465069,0.009468087
P0CG20,86,0.004718534,0.000424192,0.302321328,0.031918037
Q9BTL3,47,0.002578734,0.000122082,0.297379498,0.018416798
O43251-10,19,0.001042467,3.65E-05,0.283103596,0.004903992
Q9BQY4,66,0.0036212,0.000557671,0.298207066,0.016097149
Q01974,33,0.0018106,0.000190812,0.281214517,0.007266875
Q7Z3H4,11,0.000603533,3.44E-06,0.278341709,0.00560929
Q7Z5V6-2,68,0.003730934,0.000324755,0.308753471,0.029265767
P14678-2,59,0.003237134,0.00049352,0.306748683,0.020882467
Q99932-2,96,0.005267201,0.001244951,0.328405038,0.030411845
Q9NQB0-10,24,0.0013168,2.11E-05,0.285504416,0.011160845
Q96A09,85,0.004663667,0.000947117,0.320528541,0.025961586
Q01085-2,24,0.0013168,6.14E-05,0.277370836,0.004584938
Q08117-2,260,0.014265335,0.003634736,0.336259664,0.08799566
O43711,97,0.005322067,0.001052923,0.297449965,0.018015794
Q5T6F2,53,0.002907934,0.000358615,0.293873661,0.013290678
Q14119,80,0.004389334,0.000661638,0.3115339,0.028289769
A8MV65-2,61,0.003346867,0.000172816,0.29536528,0.027533029
A5D8V6,109,0.005980467,0.000995086,0.308498733,0.025757731
Q64LD2-2,25,0.001371667,2.41E-05,0.294075282,0.014879987
Q96K80,48,0.0026336,0.000264654,0.291727209,0.010025616
Q15915,80,0.004389334,0.000408208,0.304727486,0.028606565
A1L0T0,1,5.49E-05,0,0.235058836,0.000265552
Q8TAP6,119,0.006529134,0.002648093,0.309030365,0.020941868
A1L190,10,0.000548667,1.64E-05,0.288892997,0.00393569
Q9UL45,38,0.002084934,0.00027439,0.28484268,0.00697594
Q96CS2,95,0.005212334,0.001235927,0.311406932,0.030268759
Q5XKE5,21,0.0011522,6.66E-06,0.270843307,0.007592557
Q16512,90,0.004938001,0.001193439,0.316373926,0.033402282
P60891,163,0.008943268,0.001618712,0.318709106,0.026601052
Q96ES7,34,0.001865467,0.000256559,0.285115332,0.007424279
A1L3X0,12,0.0006584,7.12E-06,0.24475897,0.000356429
Q9UHX3,18,0.0009876,0.000118542,0.24846162,0.000615115
Q96EV8,28,0.001536267,9.66E-05,0.286043472,0.008926498
P54852,53,0.002907934,0.000435845,0.273230909,0.001571517
O75427,16,0.000877867,0.000354222,0.277796131,0.005912262
Q5QGT7,79,0.004334467,0.000377883,0.271353512,0.002280108
O75920,14,0.000768133,3.92E-05,0.265551592,0.000756094
Q8IVJ1,34,0.001865467,0.000111403,0.253723995,0.000962014
P57105,22,0.001207067,0.000228357,0.266324258,0.001478322
Q9P0S9,42,0.0023044,9.99E-05,0.272726323,0.001757827
Q8N2K1,7,0.000384067,4.35E-05,0.270164627,0.001098087
P23763-3,27,0.0014814,7.92E-05,0.265728265,0.001249256
A1L4H1,19,0.001042467,5.84E-05,0.282739218,0.00453107
Q6QNY1,29,0.001591134,0.00018981,0.285244909,0.006595572
Q96L14,16,0.000877867,0.000135082,0.273528597,0.004853565
Q9UPT5,20,0.001097333,0.000262214,0.28024141,0.005319182
Q9UPT5-1,15,0.000823,0.000157579,0.272274209,0.004196313
Q7Z3Y8,163,0.008943268,0.002126656,0.310966111,0.035397934
Q9P086,12,0.0006584,1.35E-05,0.269204498,0.003322864
Q13503,17,0.000932733,0.000117996,0.272447272,0.002543438
Q7Z6G3-2,68,0.003730934,0.000530828,0.309907751,0.021441908
P37198,77,0.004224734,0.001151152,0.301615673,0.01677727
Q13526,175,0.009601668,0.007498995,0.334149769,0.042243411
Q9Y6Y8,5,0.000274333,7.14E-06,0.252220084,0.000291075
Q96BD8,9,0.0004938,2.99E-05,0.247600474,0.000702231
Q15560,135,0.007407001,0.00259692,0.326416516,0.044484697
Q13077,217,0.011906068,0.0032168,0.319439041,0.055402336
A1L4K1,106,0.005815867,0.000798501,0.306347642,0.036720454
P29972,136,0.007461868,0.005298507,0.324847757,0.042592176
P53365,63,0.0034566,0.001505581,0.31573164,0.012523897
Q6ZNE5,4,0.000219467,4.00E-06,0.250733897,0.000731797
Q9BXY8,85,0.004663667,0.000651219,0.31281486,0.03777912
Q00994,34,0.001865467,0.000169558,0.304690503,0.011741295
Q9H0E9-2,4,0.000219467,1.08E-06,0.266017874,0.001522267
Q8TAB5,91,0.004992867,0.00156063,0.316778824,0.027314932
Q9P1Y5-2,3,0.0001646,1.23E-06,0.253055407,0.001442808
Q9HC52,99,0.005431801,0.001779974,0.314928209,0.038985447
Q8NEF3,9,0.0004938,6.36E-06,0.267463227,0.004255236
Q96HB5,123,0.006748601,0.001711048,0.328583106,0.052025336
Q8IYE0,78,0.004279601,0.00043632,0.299186892,0.026143763
Q8TD31-3,154,0.008449468,0.001397904,0.321548996,0.050050133
Q6P1J9,30,0.001646,0.00074167,0.29318239,0.009288655
Q07002,69,0.003785801,0.000441306,0.308889142,0.032641544
P31146,7,0.000384067,4.51E-05,0.27940822,0.002594135
P78358,90,0.004938001,0.001811685,0.309531119,0.018104893
Q2TBE0,94,0.005157467,0.000803795,0.315357705,0.035435752
O43602-2,13,0.000713267,1.93E-05,0.271068898,0.006311194
O60941-5,45,0.002469,0.000230063,0.297319125,0.017265815
Q9H0I2,238,0.013058268,0.004080442,0.327529798,0.070749798
P10768,1,5.49E-05,0,0.233503479,0.000465616
O60645,3,0.0001646,2.94E-07,0.242640123,0.000711552
O95990-3,9,0.0004938,1.21E-06,0.270297596,0.005487684
Q9BQ89,59,0.003237134,0.000632374,0.304331708,0.02406854
Q3B820,154,0.008449468,0.001970203,0.325618181,0.054053442
Q9Y247,52,0.002853067,0.000303517,0.300985456,0.020704601
Q86YD7,180,0.009876001,0.003185883,0.333768994,0.06414045
O95363,79,0.004334467,0.00116787,0.311882211,0.032619168
Q06787-8,2,0.000109733,5.18E-08,0.239338919,0.00058983
P56524-2,45,0.002469,0.000246996,0.300784549,0.023551425
Q8IY31,62,0.003401734,0.00072852,0.316567691,0.01722232
Q7Z3B3,24,0.0013168,5.79E-05,0.282035898,0.009765935
Q2TBA0,5,0.000274333,6.96E-07,0.253753304,0.00111185
Q6PJG3,10,0.000548667,6.46E-06,0.273686209,0.006236518
Q96BZ8,96,0.005267201,0.000557055,0.318155201,0.043922293
Q8TBB1,421,0.02309887,0.021394199,0.360210274,0.093934992
Q96EZ8,126,0.006913201,0.002410356,0.3259443,0.031635975
Q8IVT4,69,0.003785801,0.000454265,0.310011622,0.0320128
Q9UJV3-2,213,0.011686602,0.002188068,0.328995242,0.072576001
Q9Y3B7,37,0.002030067,0.000378911,0.288224933,0.009402736
O43482,164,0.008998135,0.001499853,0.31988676,0.04701458
Q96HP4,5,0.000274333,1.98E-06,0.254661549,0.000857952
Q5JS98,8,0.000438933,1.68E-05,0.25965838,0.001480874
Q96AL5,54,0.0029628,0.00109263,0.293893319,0.006284044
Q8N381,3,0.0001646,3.27E-07,0.254916432,0.001408224
Q96PV4,71,0.003895534,0.000599688,0.310170296,0.021997881
Q9UGP5-2,26,0.001426534,0.000211087,0.293094377,0.011119433
Q6NYC8,88,0.004828267,0.000980398,0.317482726,0.037811454
Q14738,8,0.000438933,1.76E-05,0.251483791,0.001460651
Q99633,103,0.005651267,0.001142438,0.320973459,0.042353474
Q8WWY3,145,0.007955668,0.001942136,0.327480971,0.055615726
P28070,39,0.0021398,0.000289857,0.30030141,0.012869289
Q9P2K3-2,59,0.003237134,0.000453193,0.30891629,0.021148964
O76064,57,0.0031274,0.000952602,0.303742591,0.010780293
Q9BWG6,187,0.010260068,0.001787382,0.328589249,0.076771826
Q9H788,81,0.004444201,0.001168653,0.313037742,0.027866349
Q9H788-2,18,0.0009876,2.26E-05,0.281769101,0.009235084
Q969G3,74,0.004060134,0.000830656,0.304695786,0.030896238
O95295,52,0.002853067,0.000809077,0.289168704,0.009009619
Q9H0A9,44,0.002414134,0.000328665,0.297873467,0.013976193
Q9H0A9-2,37,0.002030067,0.000189831,0.296091837,0.012706258
Q8N8B7,127,0.006968068,0.001774541,0.326580295,0.044995869
Q9BT49,52,0.002853067,0.000726477,0.315572893,0.032037361
Q08117,341,0.018709536,0.007280186,0.348952361,0.1109995
Q3SY00,128,0.007022934,0.001114852,0.321813965,0.050518585
Q5W5X9-3,100,0.005486667,0.001242537,0.330996701,0.043655885
P0CB47,31,0.001700867,0.000314387,0.28397277,0.008548357
Q53FD0,104,0.005706134,0.001497468,0.334952233,0.040061942
Q96NC0,54,0.0029628,0.000451712,0.314635016,0.020620203
Q15973,61,0.003346867,0.000859968,0.315046768,0.035252363
P17024,52,0.002853067,0.000287295,0.304864929,0.028389448
Q9UIE0,10,0.000548667,4.80E-06,0.265182943,0.006386218
P13682,34,0.001865467,0.000318478,0.289716923,0.013717644
Q9H9D4,66,0.0036212,0.000420897,0.310729686,0.032093136
Q86VK4,59,0.003237134,0.000518787,0.308482487,0.018424445
Q86VK4-3,50,0.002743334,0.000286974,0.303438408,0.014575744
Q8TAU3,194,0.010644135,0.002445971,0.330672841,0.078946016
Q9ULM2,26,0.001426534,7.63E-05,0.293113931,0.014336046
Q7Z3I7,78,0.004279601,0.000784367,0.324374078,0.038398379
Q9UK33,21,0.0011522,2.47E-05,0.286542512,0.015571216
Q9P0T4,104,0.005706134,0.001398528,0.326216566,0.048461464
Q96SQ5,146,0.008010534,0.001892676,0.32772525,0.062011388
Q5T619,67,0.003676067,0.000344669,0.307871813,0.031284527
Q6NX45,95,0.005212334,0.001143528,0.321902385,0.042670354
Q9ULD5,9,0.0004938,6.26E-06,0.273315896,0.004321481
Q9Y2P0,75,0.004115001,0.000395886,0.305357569,0.028492643
Q96EG3,84,0.004608801,0.000275194,0.305113699,0.036577064
Q16670,18,0.0009876,4.22E-05,0.286020195,0.010141522
Q9H6F0,11,0.000603533,6.70E-06,0.273324398,0.007019557
A1XBS5,2,0.000109733,2.09E-08,0.236183459,0.000378318
Q9Y3M2,16,0.000877867,0.000115027,0.284542904,0.003680172
Q8NA61-2,71,0.003895534,0.000299272,0.305463721,0.026157272
A2A2Y4,13,0.000713267,1.10E-06,0.232020633,0.000286387
Q96FZ5,49,0.002688467,0.000393691,0.269212746,0.001536381
O43169,50,0.002743334,0.000330766,0.267577253,0.001558976
Q8IXM6,62,0.003401734,0.000595146,0.269052004,0.001990702
Q5VZY2,35,0.001920334,4.50E-05,0.262090269,0.001237665
Q9Y6X1,47,0.002578734,0.000209545,0.268116114,0.001758456
Q8N6R1,53,0.002907934,7.81E-05,0.27040573,0.001944434
Q96G79,25,0.001371667,3.16E-05,0.258824708,0.000947803
Q5SNT2-2,19,0.001042467,7.97E-05,0.256449026,0.000610677
A2RU14,72,0.003950401,0.000427539,0.269870068,0.002000012
Q5BJF2,69,0.003785801,0.000247073,0.269886646,0.001990232
O95159,66,0.0036212,0.000209095,0.274575633,0.002257842
A2IDD5,1,5.49E-05,0,0.247858889,0.00072911
Q0VD86,287,0.015746735,0.007713673,0.331539963,0.057516963
A2RTX5,8,0.000438933,0.000113729,0.256011928,0.00058378
O15145,19,0.001042467,0.000215105,0.275639362,0.001940722
P18848,53,0.002907934,0.001043007,0.288452012,0.00475432
Q9BQ95,15,0.000823,5.51E-05,0.272156146,0.003553476
Q8TCE9,58,0.003182267,0.000608949,0.313781113,0.020080674
P26639,4,0.000219467,6.47E-05,0.246171523,0.000274317
Q9BW92,11,0.000603533,3.17E-05,0.259700588,0.000667599
B2RDX5,2,0.000109733,1.49E-06,0.203635402,7.57E-06
Q96BI3,26,0.001426534,0.00031782,0.281507318,0.001174232
P41181,41,0.002249534,0.000108046,0.26861198,0.00128764
Q3SXY8,139,0.007626468,0.001092778,0.284133463,0.003407162
Q8WWH4,11,0.000603533,1.39E-05,0.244670372,0.000406566
O15342,18,0.0009876,1.09E-05,0.250034699,0.000401526
J3KQ12,38,0.002084934,0.000537954,0.290930352,0.006571492
Q9UGN4,6,0.0003292,5.65E-05,0.243889405,0.000434011
P19397,85,0.004663667,0.000390487,0.271613533,0.002242347
P11912,181,0.009930868,0.002561396,0.296111793,0.005783246
P57739,25,0.001371667,0.00039269,0.285476589,0.006125536
Q8IUN9,27,0.0014814,0.000259911,0.262148913,0.000634846
Q6ZS10,23,0.001261934,0.000121009,0.266955368,0.000812867
P16410,7,0.000384067,0.000472723,0.248338734,0.000162052
Q9Y4D2,10,0.000548667,4.48E-06,0.243679735,0.000306439
Q9NXB9,4,0.000219467,2.43E-07,0.223129961,8.16E-05
Q9GZR5,104,0.005706134,0.000710401,0.282040424,0.002870395
P54849,64,0.003511467,0.001357127,0.283793925,0.002530799
Q5JX71,248,0.013606935,0.004775015,0.302347335,0.007330537
Q8TB36,52,0.002853067,0.000511041,0.290867754,0.004154856
Q9NTQ9,10,0.000548667,5.82E-06,0.245648493,0.000302389
O95452,10,0.000548667,2.58E-06,0.239531387,0.000318258
Q9BZJ8,23,0.001261934,8.09E-05,0.248669046,0.000472074
O95279,30,0.001646,4.67E-05,0.271018735,0.001639739
P43628,71,0.003895534,0.000904559,0.272705163,0.00202857
Q5T700,35,0.001920334,0.000101719,0.263086855,0.001286982
Q8TAF8,135,0.007407001,0.00091842,0.282944065,0.003668663
Q8N112,20,0.001097333,0.000110916,0.263157767,0.000893849
Q9GZY8-5,98,0.005376934,0.000554652,0.282031372,0.002866922
Q96HJ5,40,0.002194667,0.000240017,0.263457594,0.001011242
Q9H2K0,90,0.004938001,0.000968894,0.286313764,0.003033936
Q9Y5X5-3,2,0.000109733,1.03E-07,0.226886386,6.50E-05
P12004,40,0.002194667,0.001633061,0.276250296,0.00145704
Q9BQ51,23,0.001261934,7.62E-05,0.252335973,0.000561706
Q96FE7,8,0.000438933,6.38E-05,0.263189295,0.000812173
Q53GL0,24,0.0013168,9.03E-05,0.265531531,0.00075383
Q9NR31,81,0.004444201,0.000832298,0.288097358,0.003402359
A0A0S2Z4U3,20,0.001097333,9.80E-05,0.272278427,0.005654764
