Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
Q9R0X5,1,5.49E-05,0,0.157731215,1.63E-08
Q68D10,1,5.49E-05,0,0.257222254,0.000955609
Q9BWD3,6,0.0003292,5.74E-06,0.264839261,0.001186605
Q68D91,1,5.49E-05,0,0.226197197,7.97E-05
Q68DK2,31,0.001700867,6.26E-05,0.294938975,0.014860552
Q68DK7,2,0.000109733,6.02E-09,0.000109733,1.16E-29
Q9HCI7,1,5.49E-05,0,7.32E-05,8.23E-30
Q9H7Z6-1,1,5.49E-05,0,7.32E-05,8.23E-30
Q8IV35,1,5.49E-05,0,0.191039763,3.15E-06
Q68EN5,1,5.49E-05,0,0.218317935,4.53E-05
Q96QL7,1,5.49E-05,0,0.235083991,0.000174617
Q695T7,1,5.49E-05,0,0.21834506,1.51E-05
Q8N434-2,1,5.49E-05,0,0.218597642,4.68E-05
Q96MB7,1,5.49E-05,0,0.199599514,6.28E-06
B2RAB7,1,5.49E-05,0,0.248051305,0.001270737
Q6DCB0,2,0.000109733,1.48E-07,0.254248909,0.002264697
Q6ISP9,1,5.49E-05,0,0.248051305,0.001270737
Q9H5C5,1,5.49E-05,0,0.248051305,0.001270737
Q86YP4-3,1,5.49E-05,0,0.248051305,0.001270737
P50539-4,2,0.000109733,0,0.254764918,0.0019741
A8K0Y0,1,5.49E-05,0,0.248051305,0.001270737
Q9Y4P9,4,0.000219467,2.62E-06,0.266046064,0.003766224
Q9UJL9,2,0.000109733,0,0.259428394,0.001975519
Q9H963,1,5.49E-05,0,0.248051305,0.001270737
Q96GB0,1,5.49E-05,0,0.248051305,0.001270737
Q99819,5,0.000274333,1.24E-06,0.236447209,0.000280848
Q7RTY5,1,5.49E-05,0,0.222813115,7.86E-05
Q6B0I6,1,5.49E-05,0,0.235058836,0.000265552
Q96MU6-2,1,5.49E-05,0,0.224655982,8.46E-05
Q6DHV7,17,0.000932733,5.77E-05,0.272976263,0.002083002
Q6DKI7,1,5.49E-05,0,0.208619984,1.34E-05
P12872,2,0.000109733,1.80E-06,0.243443445,0.000181573
Q9BRK3,6,0.0003292,2.28E-06,0.266086346,0.001863274
Q6DN72,1,5.49E-05,0,0.201674763,5.54E-06
Q6DT37,1,5.49E-05,0,0.222485901,4.25E-05
Q6GMV2,3,0.0001646,0.000107752,0.251735956,0.001786505
O70343,1,5.49E-05,0,0.200370995,2.27E-05
Q6H8Q1,11,0.000603533,0.000128461,0.275207711,0.003531009
A0A0S2Z5Z3,1,5.49E-05,0,0.21496384,4.48E-05
Q9Y2Q5,5,0.000274333,6.78E-06,0.234572523,0.000235884
Q6IBS0,1,5.49E-05,0,0.219380813,3.40E-05
Q86XI2,1,5.49E-05,0,0.212317436,2.54E-05
Q4KN05,1,5.49E-05,0,0.223985965,4.11E-05
Q9H0P0,2,0.000109733,0,0.246350965,0.000309353
Q3B7S5,1,5.49E-05,0,0.223985965,4.11E-05
P59536,1,5.49E-05,0,0.223985965,4.11E-05
Q96PU4-2,2,0.000109733,1.84E-07,0.240583991,0.00027463
Q01968-2,4,0.000219467,4.83E-06,0.247353041,0.000447389
Q6ICL3,1,5.49E-05,0,0.21012912,9.12E-06
Q9BT56,1,5.49E-05,0,0.224793917,6.33E-05
Q9BRL5,4,0.000219467,8.81E-06,0.25032318,0.000806395
Q6IQ49,1,5.49E-05,0,0.217440039,4.63E-05
Q9NZI5,1,5.49E-05,0,0.202245711,1.55E-05
Q6JEL2,1,5.49E-05,0,0.21376887,4.17E-05
Q6KC79,1,5.49E-05,0,0.178281685,6.22E-07
Q9Y6X3,2,0.000109733,0.000107752,0.217828142,4.91E-05
Q6KF10,1,5.49E-05,0,0.185369325,6.24E-07
Q9H3U7,1,5.49E-05,0,0.196602887,3.03E-05
Q6N043,2,0.000109733,8.92E-08,0.222387361,6.56E-05
Q8IWT6,4,0.000219467,0.000323239,0.183762457,8.48E-07
Q9H672,8,0.000438933,1.60E-05,0.260651986,0.001141322
E9PJI5,2,0.000109733,9.29E-08,0.248244019,0.000739053
Q9HAJ7,2,0.000109733,6.98E-08,0.253048119,0.000852764
Q6NTF9,63,0.0034566,0.00153131,0.292246297,0.004255958
Q96A11,2,0.000109733,6.35E-09,0.226409931,0.000107408
Q5U4N7,2,0.000109733,6.35E-09,0.226409931,0.000107408
Q96BM0,2,0.000109733,6.35E-09,0.226409931,0.000107408
Q5VZR4,2,0.000109733,6.35E-09,0.226409931,0.000107408
Q9H8L6,2,0.000109733,6.35E-09,0.226409931,0.000107408
Q9NZE8-2,1,5.49E-05,0,0.225220285,5.40E-05
Q96QR1,2,0.000109733,6.35E-09,0.226409931,0.000107408
Q9BXI2,2,0.000109733,6.35E-09,0.226409931,0.000107408
Q2NL82,3,0.0001646,6.35E-09,0.237720168,0.000168797
Q0VAF8,2,0.000109733,2.11E-08,0.248637382,0.001059558
Q0VAF9,2,0.000109733,2.11E-08,0.248637382,0.001059558
Q6NUT3,3,0.0001646,4.57E-08,0.239910703,0.00020273
P97798,1,5.49E-05,0,0.150533979,3.45E-09
Q6NWY9,2,0.000109733,4.82E-09,0.206701154,4.16E-05
Q7Z2G1,1,5.49E-05,0,0.195457101,2.39E-06
Q6NXT4,2,0.000109733,0.000107752,0.219430119,8.75E-05
Q8TAD4,1,5.49E-05,0,0.179353358,1.11E-06
Q8N0Z2,1,5.49E-05,0,0.239917254,0.000479166
Q6NZ36,32,0.001755734,0.000411494,0.293285139,0.008410375
Q9UBZ9,1,5.49E-05,0,0.225836756,0.000106589
Q920Q2,1,5.49E-05,0,0.225836756,0.000106589
Q9BYE9,7,0.000384067,0.000385827,0.212561399,2.75E-05
Q28362,1,5.49E-05,0,0.191702451,1.49E-06
Q6P179,1,5.49E-05,0,5.49E-05,3.26E-31
Q9NZ08,1,5.49E-05,0,5.49E-05,3.26E-31
Q6P1J6,14,0.000768133,2.83E-05,0.284037025,0.004732211
Q92541,2,0.000109733,0,0.228589215,0.000126479
Q9H081,2,0.000109733,2.65E-08,0.229176464,0.000100427
Q6P1M0,3,0.0001646,4.06E-07,0.265162937,0.001366501
Q6P1N0,1,5.49E-05,0,0.219633054,2.21E-05
B7ZLP7,2,0.000109733,2.65E-08,0.244340399,0.000377185
Q6P1X5,2,0.000109733,0,0.229445756,7.97E-05
Q86XL3,2,0.000109733,0.000107752,0.179194253,3.11E-07
Q8IU60,4,0.000219467,2.12E-06,0.212381583,2.21E-05
Q8IU60-2,1,5.49E-05,0,0.179190599,3.11E-07
